addr,value
bc1q45r9mf7q99hv8zqg3q0e8lg46t4ch6qfs02h3s,1004706
bc1p983vdj2xpgefupfpc2k2sp9lrlhr9wdduysy6h75dttk4hhmvpgqr7qyr2,1114
bc1perydguplwa4ckhwknyss6alydwytxr3w3pzygxlq9t9gkln7q9cqy0hvwe,366
1HyjowRmXga2LTcFMNhq8FEmGSUPSR4Cr4,8399
,0
1HyjowRmXga2LTcFMNhq8FEmGSUPSR4Cr4,6691
33j5fuJc14aff3Z6vHZBxaHEKMdNmKbRxQ,555668000
3Qj6EYBML5eC4g6UYKpE83xwWiDiPNfifW,716042
3JRR3gPXbGhaWNDVgzr64bq5GcBgvyCbdi,716044
33tmnMebAzVzZYihVK4F7XgHqzCtxUfBuW,716045
3N2LnPh2vnb3GzFpt5MecxXrta9qhfX3kq,716046
38Fh5UZ6Rmrbf8iYKpQvnUPwfxHmS22fgR,716046
34b7pMi8BaXQch6ox8dikpJFK9jpNor3cr,716047
36WYP5psaNLZkHKSbJztirr7Nd1mRMoQi6,716050
3DDSQkhDLncGuUcDAJRtvvgicn2Hs6Jz8v,716050
3HSyrF8HCBHP96DXBVP8dLfZramMrDkGup,716059
39DFnwHRboXGRdEyR2gnjvSHp9cqzLH1ei,716060
37M9uUEfiQdyXWVJ7JXpX2BCR99qHGnWtt,716062
bc1qn04lvvwk9hjgtx0r3e70erjflkx3af50hn57sv,139710
1PLX3cZCdRMF3bZLQn7rVna8NQDqrjsGYv,452508
bc1q5g6xklvf78j87w9flslhh4l62dft96sc4vxgv7,89845
3PdtYbZpBePr83APMZnJ9Kjs7xzMv9tqRj,23170000
bc1p52yrhxcsra5z4mwznvcwam92vdprhmytsstt5egps6pnv3npz04szmtxvd,8942701
bc1p55td2hmcqej8zgtkpms2ht7uwdmlskcff7c9mghdd6wwegex9ees7y5j2c,57002
15cFKpCQLqQh4X6QDnELDfumFgDhspS226,97308
bc1pxdpvd7q5a39dslrq9z7xw5urhrdapgnn6yad6ychzr48pmf3rtqqrdyqxz,246000
bc1q82xhwg0lnv9f6ep8j9n8ylxe4qzmtsm6lmgrzh,247506
bc1qn3780cqkm3fpg76rxjw0ufvd45mujyw2v6xrl7,6043652
bc1p43gyc6vzknvl069kz4mqadj9fnlru08vexmll5el4vgh6e265pjs49u77f,76118
bc1pjw5f6mz8d3vq78wmrk3cle3evvdxsymtwj5t7lpzxpsw4mwxylsqntecwu,51819
bc1puneyrvaz2864qfztr259j4wguyrdzr6g3d4zxl4rrz3eka3sjg5qrh8cuu,372194
bc1pxj4j9rgpfgjmgther4hmjpkq82kfv06gs2n35hf6pr7hn2s0c5squsr7cg,731522
bc1p5xqtqhesdauxgtafnqw7eqrvdyxkecqpkmxqg3p62u5m5fq2k8rs5h6y3a,57206
bc1qgmhsdrt8l3rzf7h7um296k33ccfcj6l3q5tml3,1160966
bc1pjct0jwz65x2wl3mnx2c7mllddg4yvvtayw72j5gperj8gfte4w7sr79pkv,617178
3FLbvyw4a9PhokQqzMCmYqKBVVE3MkDJ8t,508977000
bc1qj0mmer00maq3l57ehchd5dm9daa2hgvck8xgs8,52000
bc1p2zd6hlhzrdlvpensse76gv9cfylm6xtkz92k944uuqdhcee3n9uq44faz8,1272491
bc1p53a5y9ypgj27qv6uwvyl2f90j2dwl3uhcf69jxkdwcfnyd68tdkqhthkkm,1275425
1C2soM3aSCWo8ghLtpV6XNMcWAUJ8ExQMp,966283
bc1quhruqrghgcca950rvhtrg7cpd7u8k6svpzgzmrjy8xyukacl5lkq0r8l2d,8382117
bc1qywlymf7s59q0rfqt38vvscdkgza90ap3ayk8es,1200485859
3BtEfHsgfwWc6Cya7DRZhepsW2bnTwZnxW,100000000
bc1q6ju36yr4nqe9auky5aaat4yjh4g2qskmqav90y,1100484868
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,3151
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,2630
,0
bc1q4n2x2qwh4r9lsnhr60alre2q07d8pjqq8szc0g,790
bc1qay74nc2djs2g5acqp72eyvlqp3ku7sj97jft8y,84536
bc1qay74nc2djs2g5acqp72eyvlqp3ku7sj97jft8y,547
,796
,796
bc1qay74nc2djs2g5acqp72eyvlqp3ku7sj97jft8y,75080
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,2630
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,2109
,0
bc1qfh8dehk3hep2fknxc2kaga8qurdygtl6c7e3t4,25908
bc1qymltqvzgvc2gat22hsrk6pel7lu7m2v5msk807,24883
bc1pf662malx9g07ls9jt0vm2ragmrt6cczyf67l2yf50gd4qekvt28qmdt8ym,330
bc1pf662malx9g07ls9jt0vm2ragmrt6cczyf67l2yf50gd4qekvt28qmdt8ym,115156
bc1psnjv8zr6gs5u4k0gn77tuvcch4jp3pvxlh2585eccd32jvgv7dgq4gd7hc,546
bc1pf662malx9g07ls9jt0vm2ragmrt6cczyf67l2yf50gd4qekvt28qmdt8ym,113252
bc1q7p4gnztw0tnf29nllcqgmksws6xmeggd4p6zff,40252
bc1q7p4gnztw0tnf29nllcqgmksws6xmeggd4p6zff,12083
1BtSNjm3mreirbm8GU3oaNRB8ikcEbVfzJ,50525
bc1q7txpl9jeau2kjs58lnyv3rpu3p8m5tfhngqkrs,10000000
17gXa4TneoWkR7LGjorHiH2UKiR8gHacCj,1000000
bc1q7txpl9jeau2kjs58lnyv3rpu3p8m5tfhngqkrs,8998560
bc1q9647j7syvpyttnlwu4ld0pqg8c8zx059lrf0r2,99250
bc1qymwmx3mfsned9vh9nstuhgpkjx77hku8268m32,97994
bc1qxvlvzdgrlp4w9g4jqu302l405eclw803xkmwee,546
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,2109
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,1588
,0
bc1qfgtfr5ralsaaanu6njvyj6xh4z5cvnl73p27wt,121695
bc1q2ter0n2gahja4hqrm5tzstnpxjm2vg2h3p2zsj,10960025
bc1qz8ckkva4mjz7kep6kjzgvlwccxp74lf3lq9zy0,830896
bc1q7w0eg4f8hx0mkcu5c0xzf7gp7zcfv0tszp90wx,10249375
bc1qsxe64uc4j0xfzcgv32w6qfnkjhf6akqlfr5u5r,4435705
bc1qsxe64uc4j0xfzcgv32w6qfnkjhf6akqlfr5u5r,2748200
bc1qsxe64uc4j0xfzcgv32w6qfnkjhf6akqlfr5u5r,4603533
bc1qsxe64uc4j0xfzcgv32w6qfnkjhf6akqlfr5u5r,2752006
1Lg9AwdsfeQrTBJawhSKiDLja6cHtr64y8,13983207
bc1qsxe64uc4j0xfzcgv32w6qfnkjhf6akqlfr5u5r,553229
bc1qd0h35n849n5ffwav3nfrnfh2nuhm8z3k5rl57r,859807
bc1qfc03z5jmwaumhs5wc2zufl0e44cpgf2vy3z8gj,387474
1B5bf3i5ZMhZnPzrAQTY32UT2bivW3tA3L,471181
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,1293140
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,600
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,600
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,1290492
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,600
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,600
bc1peec28a532mz7yj433wkj7aj4325nrav8zg30lx08vhs4dpphmvlsz8adj0,546
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,1290492
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,1200
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,546
bc1peec28a532mz7yj433wkj7aj4325nrav8zg30lx08vhs4dpphmvlsz8adj0,1258800
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,600
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,600
bc1pe6zhu2n7205yr4z6mq7e7vfntr2yy8sdwd9kze9pxevnlj2y64ns2s6whk,26572
bc1q9c42u9qcaczwh7aflq4xdw9ecfyyses856kp6z,242611
1CGS9qR3TN8456QfJP1UiD3aNxjAfJWvVK,233026
bc1q9c42u9qcaczwh7aflq4xdw9ecfyyses856kp6z,8316
bc1qj9qdqwfg2fdehews6tsw9xhr4qjtka5lrevq73,159934
bc1qj9qdqwfg2fdehews6tsw9xhr4qjtka5lrevq73,367424
bc1qj9qdqwfg2fdehews6tsw9xhr4qjtka5lrevq73,22851
